,0
0430db1e286642cfb97d65ebc37d92f0,00_Plano Villa y Corte Madrid 1800_completo_jpg
6deb0925eb2b45dda6b56b547cf5c075,02_Plano Villa y Corte Madrid 1800_Barrio de los Ángeles_jpg
cdc49bade49c411fb20c4c868cf05854,03_Plano Villa y Corte Madrid 1800_Barrio de San Ginés_jpg
6dae84247bd644b7a62f2005012b9c61,04_Plano Villa y Corte Madrid 1800_Barrio de Santiago_jpg
3f78cf21f8704357bc1f583328061f4e,05_Plano Villa y Corte Madrid 1800_Barrio de la Panaderia_jpg
e6aa3c01559f47009f241444bf804a34,06_Plano Villa y Corte Madrid 1800_Barrio de Santa Cruz_jpg
0360d2b7c10b4b26910ac072b570b205,07_Plano Villa y Corte Madrid 1800_Barrio de San Justo_jpg
33cdffb2782d4723bc83841727c26289,08_Plano Villa y Corte Madrid 1800_Barrio de Santo Tomas_jpg
ae3c250d27be4dee8f0950c7149c3985,09_Plano Villa y Corte Madrid 1800_Barrio de la Puerta de Segovia_jpg
53b7b78500b344c4a307fbda40afc372,10_Plano Villa y Corte Madrid 1800_Barrio del Sacramento_jpg
02a4b93e992a490f8fcdfc48d8919927,11_Plano Villa y Corte Madrid 1800_Barrio de San Nicolas_jpg
6e03501cfbcf469bb40a9147cedc4ba0,12_Plano Villa y Corte Madrid 1800_Barrio de Santa Maria_jpg
3c48a5bbdc0d48e093add8e8b398db38,13_Plano Villa y Corte Madrid 1800_Barrio de los Caños_jpg
72ef41155c7c4d969b8b3dee22e4746e,14_Plano Villa y Corte Madrid 1800_Barrio de San Juan_jpg
89a6dc4db27a457681accccdd1ccb267,15_Plano Villa y Corte Madrid 1800_Barrio de La Encarnacion_jpg
00266184a6b9458489afed62320dfb52,16_Plano Villa y Corte Madrid 1800_Barrio de Doña Maria de Aragon_jpg
80e09f86c12f4ba09ee151baeaae28fe,17_Plano Villa y Corte Madrid 1800_Barrio de Leganitos_jpg
4787fc5b19f440ecb3fbca0010f991dc,18_Plano Villa y Corte Madrid 1800_Barrio del Rosario_jpg
a2fe88f6d07f444290c935d8ed45fe06,19_Plano Villa y Corte Madrid 1800_Barrio de la Plazuela del Gato_jpg
3ae24aeb430f47b4957c8c3ba9130fa4,20_Plano Villa y Corte Madrid 1800_Barrio de las Niñas del Monte Rey_jpg
8ed97c671c5c42d99825fc8a8c373af8,21_Plano Villa y Corte Madrid 1800_Barrio de Monserrate_jpg
ae7cc04d7ea64d7b921be101281ef9ad,22_Plano Villa y Corte Madrid 1800_Barrio del Cuartel de Guardias de Corps_jpg
60b0c62404b946cc960439b531b1796f,23_Plano Villa y Corte Madrid 1800_Barrio de Afligidos_jpg
61b28974703d434fbb5e3d6aecde37b5,24_Plano Villa y Corte Madrid 1800_Barrio de San Marcos_jpg
b365abdd1a72404ea64d91db34f9cfb2,25_Plano Villa y Corte Madrid 1800_Barrio del Carmen Calzado_jpg
e56510894ba54b4c81a1dbca60efca07,26_Plano Villa y Corte Madrid 1800_Barrio de San Basilio_jpg
f5883d0dfe10411ebf59102402e021ca,27_Plano Villa y Corte Madrid 1800_Barrio de San Ildefonso_jpg
9aad9abbf75747fe9e72c721d2ef52ff,28_Plano Villa y Corte Madrid 1800_Barrio del Hospicio_jpg
eee20355e42a4f7fa08ffd5d34e583ac,29_Plano Villa y Corte Madrid 1800_Barrio de Moriana_jpg
29d320e81cd4446fbfcce6cf82d37b84,30_Plano Villa y Corte Madrid 1800_Barrio de la Buena Dicha_jpg
bf90d23dddc943c19f5c832b30a1fbcc,31_Plano Villa y Corte Madrid 1800_Barrio de San Placido_jpg
e55985793f4c433083cd8fbaa079c043,32_Plano Villa y Corte Madrid 1800_Barrio de la Buena Vista_jpg
ac3586fad1644264a0a0e98b7947814b,33_Plano Villa y Corte Madrid 1800_Barrio de las Salesas_jpg
e978b9e7a54e47cebb11ea8c0569944c,34_Plano Villa y Corte Madrid 1800_Barrio de las Guardias Españolasjpg_jpg
118ae3cda2d94cc09524febda00c609c,35_Plano Villa y Corte Madrid 1800_Barrio de San Anton_jpg
351d4f0a934048f7a79de7a10a3e9bd7,36_Plano Villa y Corte Madrid 1800_Barrio de las Niñas de Leganes_jpg
0182f5b195264194b090488d2e5c2b35,37_Plano Villa y Corte Madrid 1800_Barrio de los Capuchinos de la Paciencia_jpg
b614557090c641da8376a02004781fb5,38_Plano Villa y Corte Madrid 1800_Barrio de San Pascual_jpg
c38c266f8beb40fe9b7ad451aae1ea22,39_Plano Villa y Corte Madrid 1800_Barrio de las Mercenarias Descalzas_jpg
c08bc88a76664acf8a0d4b4f076c93dc,40_Plano Villa y Corte Madrid 1800_Barrio de San Luis_jpg
6ee36fe7e922462babff3b4f49689e53,41_Plano Villa y Corte Madrid 1800_Barrio del Buen Suceso_jpg
cac8791ea3dd44ceae2669e3c5869c88,42_Plano Villa y Corte Madrid 1800_Barrio de las Baronesas_jpg
d6e6d6508de14d15b4322b55a1e85738,43_Plano Villa y Corte Madrid 1800_Barrio de la Cruz_jpg
e0d0499cc0be49d49d03220c522c3482,44_Plano Villa y Corte Madrid 1800_Barrio de las Monjas de Pinto_jpg
7b8c4698f2c94295b6728b9c362c3e14,45_Plano Villa y Corte Madrid 1800_Barrio de las Trinitarias_jpg
366a5c35b9764e9fa7ad07b15aae60fb,46_Plano Villa y Corte Madrid 1800_Barrio de Jesus Nazareno_jpg
c0820ae284244bae98246cb7c0c23a38,47_Plano Villa y Corte Madrid 1800_Barrio del Amor de Dios_jpg
adde9bfd27ca42848a99a3951a51fc7f,48_Plano Villa y Corte Madrid 1800_Barrio de la Plazuela de San Juan_jpg
3e5e691bd84743b693551cb3ee82a42f,49_Plano Villa y Corte Madrid 1800_Barrio del Hospital General_jpg
a50322fbacee4ebfb284bfe00f3b7c7c,50_Plano Villa y Corte Madrid 1800_Barrio de Santa Isabel_jpg
fa0070cee58c4e3090c4d9695d47d7fc,51_Plano Villa y Corte Madrid 1800_Barrio de la Comadre_jpg
abba7dca4b8f487c979788fc252be786,52_Plano Villa y Corte Madrid 1800_Barrio de Ave Maria_jpg
8308e0f9900b428ea8cbb4cf05cc74b2,53_Plano Villa y Corte Madrid 1800_Barrio de la Trinidad_jpg
386b2a30678c441b9823a6cdeee04500,54_Plano Villa y Corte Madrid 1800_Barrio de San Isidro nuevo_jpg
65b665ed260046a1ba3ed6209eff8ed9,55_Plano Villa y Corte Madrid 1800_Barrio de San Cayetano_jpg
5b6d2329220a4e4a8dcd106831039b72,56_Plano Villa y Corte Madrid 1800_Barrio del Colegio de la Paz_jpg
c28c22722bf14ded9f929b57abfe12d1,57_Plano Villa y Corte Madrid 1800_Barrio de la Puerta de Toledo_jpg
94b6a73c083a4fb0bccfd156ea259c24,58_Plano Villa y Corte Madrid 1800_Barrio de Mira el Rio_jpg
316615e30a3e495ca1f049b1c0cbda94,59_Plano Villa y Corte Madrid 1800_Barrio de la Huerta del Bayo_jpg
5f876193af254fa7a4654d87f12ce0a4,60_Plano Villa y Corte Madrid 1800_Barrio de San Francisco_jpg
a6f1f5e8b8b340578149d0d9ea46af9d,61_Plano Villa y Corte Madrid 1800_Barrio de las Vistillas_jpg
dfaa0646d8c347b6ac0e946070f743a6,62_Plano Villa y Corte Madrid 1800_Barrio de San Andres_jpg
5b4c60647d2c4671b7a5b10429ee325d,63_Plano Villa y Corte Madrid 1800_Barrio de la Latina_jpg
694383b7a1df418190fd9a2a518cdb73,64_Plano Villa y Corte Madrid 1800_Barrio del Humilladero_jpg
278f9d34e0cf4dc59323d7124d86516c,"Lámina 1. Barrio de las Descalzas Reales (Plano de la Villa y Corte de Madrid, 1800)"
d47d169a470f497f80530eba9acbd015,Plano de la villa y corte 1800
